"","basDt","cashDvdnPayDt","isinCdNm","scrsItmsKcdNm","stckDvdnRcdNm","trsnmDptyDcdNm"
"1","20220210","","동남합성","보통주","무배당","하나은행"
"2","20220210","","동남합성","보통주","무배당","하나은행"
"3","20220210","19970414","동남합성","보통주","현금배당","하나은행"
"4","20220210","19980424","동남합성","보통주","현금배당","하나은행"
"5","20220210","19990419","동남합성","보통주","현금배당","하나은행"
"6","20220210","20000417","동남합성","보통주","동시배당","하나은행"
"7","20220210","20010413","동남합성","보통주","현금배당","하나은행"
"8","20220210","20020419","동남합성","보통주","현금배당","하나은행"
"9","20220210","20030407","동남합성","보통주","동시배당","하나은행"
"10","20220210","20040414","동남합성","보통주","동시배당","하나은행"
"11","20220210","20050415","동남합성","보통주","현금배당","하나은행"
"12","20220210","20060414","동남합성","보통주","현금배당","하나은행"
"13","20220210","20070420","동남합성","보통주","현금배당","하나은행"
"14","20220210","20080418","동남합성","보통주","현금배당","하나은행"
"15","20220210","20090417","동남합성","보통주","현금배당","하나은행"
"16","20220210","20100423","동남합성","보통주","현금배당","하나은행"
"17","20220210","20110415","동남합성","보통주","현금배당","하나은행"
"18","20220210","20120423","동남합성","보통주","현금배당","하나은행"
"19","20220210","20130328","동남합성","보통주","현금배당","하나은행"
"20","20220210","20140311","동남합성","보통주","현금배당","하나은행"
"21","20220210","20150318","동남합성","보통주","현금배당","하나은행"
"22","20220210","20160315","동남합성","보통주","현금배당","하나은행"
"23","20220210","20170323","동남합성","보통주","현금배당","하나은행"
"24","20220210","20180322","동남합성","보통주","현금배당","하나은행"
"25","20220210","20180720","동남합성","보통주","현금배당","하나은행"
"26","20220210","20181101","동남합성","보통주","현금배당","하나은행"
"27","20220210","20190320","동남합성","보통주","현금배당","하나은행"
"28","20220210","20191028","동남합성","보통주","현금배당","하나은행"
"29","20220210","","동남합성","보통주","무배당","하나은행"
"30","20220210","20200420","동남합성","보통주","현금배당","하나은행"
